Family	Binomial	A
Euphorbiaceae	Amanoa_nanayensis	0.009160884
Euphorbiaceae	Amanoa_oblongifolia	0.008659015
Euphorbiaceae	Amanoa_sinuosa	0.009676891
Fabaceae	Amburana_cearensis	0.029864765
Rosaceae	Amelanchier_alnifolia	0.001385442
Rosaceae	Amelanchier_ovalis	0.000490874
Rosaceae	Amelanchier_sinica	0.000572555
Sapindaceae	Amesiodendron_chinense	0.006939778
Fabaceae	Amphimas_ferrugineus	0.047143525
Bignoniaceae	Amphitecna_latifolia	0.006361725
Amaranthaceae	Anabasis_articulata	0.000615752
Amaranthaceae	Anabasis_setifera	0.000962113
Amaranthaceae	Anabasis_syriaca	0.000962113
Anacardiaceae	Anacardium_excelsum	0.062537329
Anacardiaceae	Anacardium_sp	0.008171282
Fabaceae	Anadenanthera_macrocarpa	0.004417865
Fabaceae	Anagyris_foetida	0.002375829
Ericaceae	Andersonia_caerulea	0.000113097
Ericaceae	Andersonia_sprengelioides	0.000113097
Ericaceae	Andromeda_polifolia	0.00022698
Bignoniaceae	Anemopaegma_carrerense	0.003739281
Bignoniaceae	Anemopaegma_robustum	0.001194591
Lauraceae	Aniba_sp	0.013273229
Dipterocarpaceae	Anisoptera_sp	0.029864765
Rhizophoraceae	Anopyxis_klaineana	0.03630503
Celastraceae	Anthodon_decussatum	0.0254469
Moraceae	Antiaris_toxicaria	0.02958752
Malvaceae	Apeiba_echinata	0.022167078
Malvaceae	Apeiba_glabra	0.021124069
Malvaceae	Apeiba_membranacea	0.018385386
Malvaceae	Apeiba_tibourbou	0.015836769
Ulmaceae	Aphananthe_aspera	0.015393804
Fabaceae	Aphanocalyx_sp	0.009503318
Acanthaceae	Aphelandra_deppeana	0.000706858
Celastraceae	Apodostigma_pallens	0.021382465
Theaceae	Apterosperma_oblata	0.000706858
Fabaceae	Apuleia_leiocarpa	0.007853982
Torricelliaceae	Aralidium_pinnatifidum	0.006221139
Ericaceae	Arbutus_andrachne	0.001809557
Theaceae	Archboldiodendron_merrillianum	0.005410608
Fabaceae	Archidendron_aruense	0.012271846
Fabaceae	Archidendron_lucyi	0.012271846
Fabaceae	Archidendron_sp	0.012271846
Papaveraceae	Argemone_fruticosa	0.00022698
